[DEBUG] IP deste peer: 127.0.0.1, porta: 5000
[DEBUG] Lista bruta de vizinhos: 127.0.0.1:5001
[DEBUG] Lista final de vizinhos: [('127.0.0.1', 5001)]
[DEBUG] Modo seed: True
[Seeder] Arquivo 'file_C_20M.bin' carregado: 20480 blocos, SHA256=a2103131d080150bc68356d0ef2d02993a8cec674443d04e9ecceeab732bc1d3
[Seeder] Aguardando conex�es de leechers para o arquivo 'file_C_20M.bin'...
[Seeder] Pressione Ctrl+C para encerrar
[Servidor] Ouvindo em 127.0.0.1:5000
[Servidor] Handshake OK com ('127.0.0.1', 60935)
[Servidor] Enviado bloco 19667 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 526 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 7165 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 9040 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 7344 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 20276 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 1241 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 18694 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 19940 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 5852 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 14969 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 9659 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 14067 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 18166 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 16832 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 13251 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 16973 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 19149 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 11756 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 15126 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 20170 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 4822 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 11437 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 9299 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 6033 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 1834 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 11151 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 3370 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 19562 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 6451 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 12939 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 13095 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 18585 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 15841 (1024 B) para ('127.0.0.1', 60935)
