[DEBUG] IP deste peer: 127.0.0.1, porta: 5001
[DEBUG] Lista bruta de vizinhos: 127.0.0.1:5000
[DEBUG] Lista final de vizinhos: [('127.0.0.1', 5000)]
[DEBUG] Modo seed: False
[Servidor] Ouvindo em 127.0.0.1:5001
[Cliente] Conectado a 127.0.0.1:5000
[Metadados] Arquivo: 20480 blocos de 1024 B, SHA256=a2103131d080150bc68356d0ef2d02993a8cec674443d04e9ecceeab732bc1d3
[Cliente] Bloco 19667 recebido de 127.0.0.1:5000 (1/20480)
[Cliente] Bloco 526 recebido de 127.0.0.1:5000 (2/20480)
[Cliente] Bloco 7165 recebido de 127.0.0.1:5000 (3/20480)
[Cliente] Bloco 9040 recebido de 127.0.0.1:5000 (4/20480)
[Cliente] Bloco 7344 recebido de 127.0.0.1:5000 (5/20480)
[Cliente] Bloco 20276 recebido de 127.0.0.1:5000 (6/20480)
[Cliente] Bloco 1241 recebido de 127.0.0.1:5000 (7/20480)
[Cliente] Bloco 18694 recebido de 127.0.0.1:5000 (8/20480)
[Cliente] Bloco 19940 recebido de 127.0.0.1:5000 (9/20480)
[Cliente] Bloco 5852 recebido de 127.0.0.1:5000 (10/20480)
[Cliente] Bloco 14969 recebido de 127.0.0.1:5000 (11/20480)
[Cliente] Bloco 9659 recebido de 127.0.0.1:5000 (12/20480)
[Cliente] Bloco 14067 recebido de 127.0.0.1:5000 (13/20480)
[Cliente] Bloco 18166 recebido de 127.0.0.1:5000 (14/20480)
[Cliente] Bloco 16832 recebido de 127.0.0.1:5000 (15/20480)
[Cliente] Bloco 13251 recebido de 127.0.0.1:5000 (16/20480)
[Cliente] Bloco 16973 recebido de 127.0.0.1:5000 (17/20480)
[Cliente] Bloco 19149 recebido de 127.0.0.1:5000 (18/20480)
[Cliente] Bloco 11756 recebido de 127.0.0.1:5000 (19/20480)
[Cliente] Bloco 15126 recebido de 127.0.0.1:5000 (20/20480)
[Cliente] Bloco 20170 recebido de 127.0.0.1:5000 (21/20480)
[Cliente] Bloco 4822 recebido de 127.0.0.1:5000 (22/20480)
[Cliente] Bloco 11437 recebido de 127.0.0.1:5000 (23/20480)
[Cliente] Bloco 9299 recebido de 127.0.0.1:5000 (24/20480)
[Cliente] Bloco 6033 recebido de 127.0.0.1:5000 (25/20480)
[Cliente] Bloco 1834 recebido de 127.0.0.1:5000 (26/20480)
[Cliente] Bloco 11151 recebido de 127.0.0.1:5000 (27/20480)
[Cliente] Bloco 3370 recebido de 127.0.0.1:5000 (28/20480)
[Cliente] Bloco 19562 recebido de 127.0.0.1:5000 (29/20480)
[Cliente] Bloco 6451 recebido de 127.0.0.1:5000 (30/20480)
[Cliente] Bloco 12939 recebido de 127.0.0.1:5000 (31/20480)
[Cliente] Bloco 13095 recebido de 127.0.0.1:5000 (32/20480)
[Cliente] Bloco 18585 recebido de 127.0.0.1:5000 (33/20480)
[Cliente] Bloco 15841 recebido de 127.0.0.1:5000 (34/20480)
[Cliente] Bloco 17018 recebido de 127.0.0.1:5000 (35/20480)
[Cliente] Bloco 6922 recebido de 127.0.0.1:5000 (36/20480)
[Cliente] Bloco 5559 recebido de 127.0.0.1:5000 (37/20480)
[Cliente] Bloco 7156 recebido de 127.0.0.1:5000 (38/20480)
[Cliente] Bloco 7458 recebido de 127.0.0.1:5000 (39/20480)
[Cliente] Bloco 9952 recebido de 127.0.0.1:5000 (40/20480)
[Cliente] Bloco 3188 recebido de 127.0.0.1:5000 (41/20480)
[Cliente] Bloco 19522 recebido de 127.0.0.1:5000 (42/20480)
[Cliente] Bloco 17530 recebido de 127.0.0.1:5000 (43/20480)
[Cliente] Bloco 13461 recebido de 127.0.0.1:5000 (44/20480)
[Cliente] Bloco 18712 recebido de 127.0.0.1:5000 (45/20480)
[Cliente] Bloco 3741 recebido de 127.0.0.1:5000 (46/20480)
[Cliente] Bloco 13235 recebido de 127.0.0.1:5000 (47/20480)
[Cliente] Bloco 14434 recebido de 127.0.0.1:5000 (48/20480)
[Cliente] Bloco 9145 recebido de 127.0.0.1:5000 (49/20480)
[Cliente] Bloco 19935 recebido de 127.0.0.1:5000 (50/20480)
[Cliente] Bloco 15208 recebido de 127.0.0.1:5000 (51/20480)
[Cliente] Bloco 5512 recebido de 127.0.0.1:5000 (52/20480)
[Cliente] Bloco 12731 recebido de 127.0.0.1:5000 (53/20480)
[Cliente] Bloco 12257 recebido de 127.0.0.1:5000 (54/20480)
[Cliente] Bloco 4935 recebido de 127.0.0.1:5000 (55/20480)
[Cliente] Bloco 10841 recebido de 127.0.0.1:5000 (56/20480)
[Cliente] Bloco 11081 recebido de 127.0.0.1:5000 (57/20480)
[Cliente] Bloco 17657 recebido de 127.0.0.1:5000 (58/20480)
[Cliente] Bloco 15782 recebido de 127.0.0.1:5000 (59/20480)
[Cliente] Bloco 5263 recebido de 127.0.0.1:5000 (60/20480)
[Cliente] Bloco 12685 recebido de 127.0.0.1:5000 (61/20480)
[Cliente] Bloco 1240 recebido de 127.0.0.1:5000 (62/20480)
[Cliente] Bloco 13015 recebido de 127.0.0.1:5000 (63/20480)
[Cliente] Bloco 17615 recebido de 127.0.0.1:5000 (64/20480)
[Cliente] Bloco 5352 recebido de 127.0.0.1:5000 (65/20480)
[Cliente] Bloco 20072 recebido de 127.0.0.1:5000 (66/20480)
[Cliente] Bloco 9905 recebido de 127.0.0.1:5000 (67/20480)
[Cliente] Bloco 1026 recebido de 127.0.0.1:5000 (68/20480)
[Cliente] Bloco 19355 recebido de 127.0.0.1:5000 (69/20480)
